Block_Number,Trial_Number,Subject_Key_Box,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt.box,Crit Score,Color vision,Handedness,SID
0,0,3,same,TRUE,j,270,j,90,2.485823573,7402,,,18S004
0,1,2,diff,TRUE,s,0,l,0,0.823573687,7402,,,18S004
0,2,2,diff,TRUE,t,270,s,90,1.066448277,7402,,,18S004
0,3,2,diff,TRUE,t,180,z,0,0.801540956,7402,,,18S004
0,4,3,same,TRUE,s,0,s,0,1.15178071,7402,,,18S004
0,5,2,same,FALSE,j,180,j,90,1.617868983,7402,,,18S004
0,6,2,diff,TRUE,t,90,z,0,0.968364006,7402,,,18S004
0,7,3,same,TRUE,j,180,j,270,0.968040907,7402,,,18S004
0,8,2,diff,TRUE,i,0,z,90,0.65106723,7402,,,18S004
0,9,3,same,TRUE,i,90,i,0,0.801575236,7402,,,18S004
0,10,3,same,TRUE,t,180,t,180,0.734572293,7402,,,18S004
0,11,3,same,TRUE,l,180,l,180,0.834641836,7402,,,18S004
0,12,2,diff,TRUE,t,180,j,90,0.467736224,7402,,,18S004
0,13,2,diff,TRUE,i,0,s,0,0.71782256,7402,,,18S004
0,14,2,diff,TRUE,l,270,z,90,0.650300325,7402,,,18S004
0,15,2,diff,TRUE,t,0,j,270,0.684638171,7402,,,18S004
0,16,3,same,TRUE,j,90,j,90,0.517551828,7402,,,18S004
0,17,2,diff,TRUE,t,270,l,0,0.403153607,7402,,,18S004
0,18,3,same,TRUE,l,180,l,0,0.534495201,7402,,,18S004
0,19,3,same,TRUE,j,0,j,90,0.601613745,7402,,,18S004
0,20,2,diff,TRUE,t,180,s,0,0.634544687,7402,,,18S004
0,21,2,diff,TRUE,i,0,t,90,0.551004616,7402,,,18S004
0,22,2,diff,TRUE,s,90,t,0,0.584482201,7402,,,18S004
0,23,2,diff,TRUE,t,180,s,90,0.601371238,7402,,,18S004
0,24,3,same,TRUE,l,0,l,180,0.651441747,7402,,,18S004
0,25,2,diff,TRUE,s,0,j,270,0.467899597,7402,,,18S004
0,26,2,diff,TRUE,l,0,t,180,0.901485417,7402,,,18S004
0,27,2,same,FALSE,t,180,t,270,0.466609024,7402,,,18S004
0,28,2,diff,TRUE,z,0,t,180,0.5513,7402,,,18S004
0,29,2,diff,TRUE,j,90,i,90,0.584524138,7402,,,18S004
0,30,3,same,TRUE,t,0,t,90,0.653125072,7402,,,18S004
0,31,3,same,TRUE,j,0,j,180,1.218490821,7402,,,18S004
0,32,3,same,TRUE,l,0,l,270,1.151230785,7402,,,18S004
0,33,3,same,TRUE,t,90,t,90,0.60214106,7402,,,18S004
0,34,2,diff,TRUE,z,0,o,0,0.384379947,7402,,,18S004
0,35,3,diff,FALSE,j,180,l,270,0.651278375,7402,,,18S004
0,36,3,same,TRUE,l,90,l,270,1.469659867,7402,,,18S004
0,37,3,same,TRUE,i,0,i,90,0.784617275,7402,,,18S004
0,38,3,same,TRUE,z,90,z,0,0.984663005,7402,,,18S004
0,39,2,diff,TRUE,t,180,o,0,0.869372068,7402,,,18S004
0,40,2,diff,TRUE,z,0,j,0,0.88472365,7402,,,18S004
0,41,3,same,TRUE,t,0,t,0,0.751464248,7402,,,18S004
0,42,3,same,TRUE,l,0,l,0,0.602929845,7402,,,18S004
0,43,3,same,TRUE,t,90,t,180,0.617855125,7402,,,18S004
0,44,2,diff,TRUE,s,0,l,270,0.584720332,7402,,,18S004
0,45,2,diff,TRUE,l,0,z,0,0.618165096,7402,,,18S004
0,46,3,diff,FALSE,j,270,l,270,0.634462272,7402,,,18S004
0,47,2,diff,TRUE,t,90,i,90,0.567558155,7402,,,18S004
0,48,2,diff,TRUE,i,0,l,270,0.367937268,7402,,,18S004
0,49,3,same,TRUE,t,180,t,90,0.668061293,7402,,,18S004
0,50,2,diff,TRUE,t,0,i,0,0.417401693,7402,,,18S004
0,51,2,diff,TRUE,j,180,t,270,0.584584309,7402,,,18S004
0,52,3,diff,FALSE,j,180,l,90,0.632666264,7402,,,18S004
0,53,3,same,TRUE,l,270,l,0,1.418123013,7402,,,18S004
0,54,3,same,TRUE,l,180,l,270,1.035037651,7402,,,18S004
