trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
0,0,0,0,0,0,x,x,yes,yes,True,s,0,s,0,0.800346446573,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
1,0,1,0,0,1,m,m,no,no,True,s,0,z,90,1.78056358767,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
2,0,2,0,0,2,x,x,yes,yes,True,l,270,l,270,0.760373511235,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
3,0,3,0,0,3,m,m,no,no,True,t,270,s,90,0.800323721487,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
4,0,4,0,0,4,m,m,no,no,True,s,0,t,270,1.6600968159,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
5,0,5,0,0,5,m,m,no,no,True,o,0,t,270,0.780265963404,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
6,0,6,0,0,6,m,m,no,no,True,l,270,i,0,1.06026747345,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
7,0,7,0,0,7,m,m,no,no,True,l,90,t,180,0.901952921762,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
8,0,8,0,0,8,x,x,yes,yes,True,t,270,t,0,0.960304896347,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
9,0,9,0,0,9,m,m,no,no,True,i,0,z,0,0.860213666456,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
10,0,10,0,0,10,m,m,no,no,True,j,0,i,0,0.840550663765,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
11,0,11,0,0,11,m,m,no,no,True,l,270,s,0,0.680545664276,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
12,0,12,0,0,12,m,m,no,no,True,o,0,l,0,0.640389096225,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
13,0,13,0,0,13,x,x,yes,yes,True,s,90,s,0,1.04025773099,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
14,0,14,0,0,14,x,x,yes,yes,True,l,90,l,270,0.98041396914,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
15,0,15,0,0,15,x,x,yes,yes,True,t,270,t,90,0.620170796872,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
16,0,16,0,0,16,m,m,no,no,True,l,90,t,90,1.86023455882,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
17,0,17,0,0,17,x,x,yes,yes,True,l,90,l,180,0.860612453776,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
18,0,18,0,0,18,x,x,yes,yes,True,l,180,l,0,0.920204041293,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
19,0,19,0,0,19,m,m,no,no,True,s,0,i,0,2.19194134302,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
20,0,20,0,0,20,m,m,no,no,True,s,90,j,270,1.4609707027,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
21,0,21,0,0,21,x,x,yes,yes,True,l,180,l,90,1.67978071095,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
22,0,22,0,0,22,x,x,yes,yes,True,j,90,j,180,0.681189661962,2016_Mar_30_1616,49.9827972158,PL-Tetris_2,001,1,
