trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Block_Number,Trial_Number,Subject_Key,Correct_Key,Subject_Response,Correct_Response,Answered_Correctly,Left_Zoid,Left_Zoid_Orientation,Right_Zoid,Right_Zoid_Orientation,Response.rt,date,frameRate,expName,session,participant,
0,0,0,0,0,0,m,x,yes,no,False,o,0,j,180,2.10096368566,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
1,0,1,0,0,1,m,m,yes,yes,True,j,0,j,0,0.981679666555,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
2,0,2,0,0,2,m,m,yes,yes,True,j,180,j,270,0.260330514051,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
3,0,3,0,0,3,m,m,yes,yes,True,j,180,j,90,0.0583522040397,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
4,0,4,0,0,4,m,m,yes,yes,True,j,180,j,0,0.301723276032,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
5,0,5,0,0,5,m,m,yes,yes,True,t,180,t,0,0.0396532539744,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
6,0,6,0,0,6,m,x,yes,no,False,l,90,j,0,0.621175771812,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
7,0,7,0,0,7,m,x,yes,no,False,l,180,t,180,0.562846376328,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
8,0,8,0,0,8,m,m,yes,yes,True,j,90,j,90,0.120781379752,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
9,0,9,0,0,9,m,x,yes,no,False,j,0,t,180,0.981648495421,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
10,0,10,0,0,10,m,x,yes,no,False,l,270,j,0,0.10269521107,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
11,0,11,0,0,11,m,m,yes,yes,True,z,90,z,90,0.382529045455,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
12,0,12,0,0,12,m,m,yes,yes,True,l,90,l,90,0.301928170025,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
13,0,13,0,0,13,m,m,yes,yes,True,l,0,l,270,0.0609496815596,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
14,0,14,0,0,14,m,m,yes,yes,True,l,90,l,270,0.0409689089283,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
15,0,15,0,0,15,m,m,yes,yes,True,i,0,i,90,1.38142436673,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
16,0,16,0,0,16,m,m,yes,yes,True,j,270,j,0,0.121324975975,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
17,0,17,0,0,17,m,x,yes,no,False,t,270,j,0,3.84090344934,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
18,0,18,0,0,18,m,x,yes,no,False,t,270,j,90,1.11996598518,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
19,0,19,0,0,19,m,x,yes,no,False,l,0,t,270,0.440791536821,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
20,0,20,0,0,20,m,m,yes,yes,True,t,270,t,90,0.0198560876306,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
21,0,21,0,0,21,m,m,yes,yes,True,l,180,l,90,0.162037672475,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
22,0,22,0,0,22,m,x,yes,no,False,l,270,t,90,0.243034650804,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
23,0,23,0,0,23,m,m,yes,yes,True,t,0,t,270,0.643020737683,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
24,0,24,0,0,24,m,m,yes,yes,True,l,270,l,90,0.121117040748,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
25,0,25,0,0,25,m,x,yes,no,False,i,0,l,0,0.601513934322,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
26,0,26,0,0,26,m,x,yes,no,False,j,0,i,0,0.382711891551,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
27,0,27,0,0,27,m,x,yes,no,False,z,0,o,0,0.301317289472,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
28,0,28,0,0,28,m,m,yes,yes,True,l,180,l,270,0.0222874453757,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
29,0,29,0,0,29,m,m,yes,yes,True,s,0,s,90,0.18287413381,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
30,0,30,0,0,30,m,x,yes,no,False,l,270,z,0,0.102760974551,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
31,0,31,0,0,31,m,m,yes,yes,True,t,180,t,180,1.30153890932,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
32,0,32,0,0,32,m,m,yes,yes,True,o,0,o,0,0.240786138922,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
33,0,33,0,0,33,m,m,yes,yes,True,j,90,j,0,0.101302768337,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
34,0,34,0,0,34,m,m,yes,yes,True,l,0,l,180,0.263156834524,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
35,0,35,0,0,35,m,m,yes,yes,True,j,90,j,270,0.942667324096,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
36,0,36,0,0,36,m,m,yes,yes,True,t,90,t,270,0.821069409605,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
37,0,37,0,0,37,m,x,yes,no,False,s,0,j,270,0.620992926182,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
38,0,38,0,0,38,m,x,yes,no,False,t,270,l,0,0.242146650096,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
39,0,39,0,0,39,m,x,yes,no,False,t,0,l,90,0.399784614332,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
40,0,40,0,0,40,m,m,yes,yes,True,z,90,z,0,0.060322835343,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
41,0,41,0,0,41,m,x,yes,no,False,t,180,j,180,0.36031420622,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
42,0,42,0,0,42,m,m,yes,yes,True,j,270,j,270,0.600054967683,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
43,0,43,0,0,43,m,m,yes,yes,True,j,270,j,180,0.14023604244,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
44,0,44,0,0,44,m,m,yes,yes,True,j,270,j,90,1.38074658206,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
45,0,45,0,0,45,m,m,yes,yes,True,t,90,t,90,0.122975531733,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
46,0,46,0,0,46,m,x,yes,no,False,t,90,s,90,0.0431725643575,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
47,0,47,0,0,47,m,m,yes,yes,True,j,90,j,180,0.380975424545,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
48,0,48,0,0,48,m,x,yes,no,False,z,0,l,90,0.520375545137,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
49,0,49,0,0,49,m,x,yes,no,False,t,0,s,0,0.439454594394,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
50,0,50,0,0,50,m,x,yes,no,False,s,90,o,0,0.400305022253,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
51,0,51,0,0,51,m,m,yes,yes,True,t,270,t,180,0.644206385594,2018_01_25_1230,50.3590140915,PL-Tetris_2,001,0,
