3.6550 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
30.0230 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.95,  0.95,  0.95]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1A5ED6D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
30.0231 	EXP 	window1: recordFrameIntervals = False
30.2193 	EXP 	window1: recordFrameIntervals = True
30.4394 	EXP 	window1: recordFrameIntervals = False
30.7194 	EXP 	Created Orientation_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Orientation_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u25cb', units=u'norm', win=Window(...), wrapWidth=1)
30.7275 	EXP 	Created Ready_Cue = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Ready_Cue', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'\u23fa', units=u'norm', win=Window(...), wrapWidth=1)
30.7350 	EXP 	Created Zoid_Left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Left', opacity=1.0, ori=array(0.0), pos=array([-5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
30.7363 	EXP 	Created Zoid_Right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.05,  0.05,  0.05]), fillColorSpace='rgb', interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineWidth=1, name='Zoid_Right', opacity=1.0, ori=array(0.0), pos=array([ 5.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
30.8361 	EXP 	Created Button_Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.07, italic=False, name='Button_Instructions', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
30.8530 	EXP 	Created x_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'tomato', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Yu Gothic UI', fontFiles=[], height=0.1, italic=False, name='x_instruction', opacity=1.0, ori=0, pos=array([-0.7, -0.8]), rgb=array([ 255.,   99.,   71.]), text=u'DIFFERENT\nZ', units=u'norm', win=Window(...), wrapWidth=1)
30.8656 	EXP 	Created m_instruction = TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'lightseagreen', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Yu Gothic UI', fontFiles=[], height=0.1, italic=False, name='m_instruction', opacity=1.0, ori=0, pos=array([ 0.7, -0.8]), rgb=array([  32.,  178.,  170.]), text=u'SAME\nM', units=u'norm', win=Window(...), wrapWidth=1)
30.8852 	EXP 	Created Feedback_Screen = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Feedback_Screen', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Placeholder_text', units=u'norm', win=Window(...), wrapWidth=1)
30.8866 	EXP 	window1: blendMode = 'avg'
30.8871 	EXP 	window1: blendMode = 'avg'
30.8874 	EXP 	window1: blendMode = 'avg'
30.8964 	EXP 	x_instruction: autoDraw = True
30.8964 	EXP 	m_instruction: autoDraw = True
30.8964 	EXP 	Button_Instructions: autoDraw = True
35.9009 	EXP 	Created sequence: random, trialTypes=1, nReps=121, seed=None
36.5675 	EXP 	New trial (rep=0, index=0): None
36.5697 	EXP 	window1: blendMode = 'avg'
36.5698 	EXP 	window1: blendMode = 'avg'
36.5703 	EXP 	window1: blendMode = 'avg'
36.5772 	EXP 	Button_Instructions: autoDraw = False
36.5772 	EXP 	Zoid_Left: vertices = ((-0.5, 0), (-1.5, 0), (-1.5, 1), (0.5, 1), (0.5, 0), (1.5, 0), (1.5, -1), (-0.5, -1))
36.5772 	EXP 	Zoid_Left: ori = 90
36.5772 	EXP 	Zoid_Right: vertices = ((0.5, 0), (1.5, 0), (1.5, 1), (-1.5, 1), (-1.5, 0), (-0.5, 0), (-0.5, -1), (0.5, -1))
36.5772 	EXP 	Zoid_Right: ori = 270
36.5772 	EXP 	Orientation_Cue: autoDraw = True
36.5781 	EXP 	window1: blendMode = 'avg'
36.5783 	EXP 	window1: blendMode = 'avg'
36.5785 	EXP 	window1: blendMode = 'avg'
36.5983 	EXP 	window1: blendMode = 'avg'
36.5989 	EXP 	window1: blendMode = 'avg'
36.5996 	EXP 	window1: blendMode = 'avg'
36.6206 	EXP 	window1: blendMode = 'avg'
36.6211 	EXP 	window1: blendMode = 'avg'
36.6215 	EXP 	window1: blendMode = 'avg'
36.6388 	EXP 	window1: blendMode = 'avg'
36.6392 	EXP 	window1: blendMode = 'avg'
36.6398 	EXP 	window1: blendMode = 'avg'
36.6587 	EXP 	window1: blendMode = 'avg'
36.6591 	EXP 	window1: blendMode = 'avg'
36.6595 	EXP 	window1: blendMode = 'avg'
36.6802 	EXP 	window1: blendMode = 'avg'
36.6807 	EXP 	window1: blendMode = 'avg'
36.6811 	EXP 	window1: blendMode = 'avg'
36.6994 	EXP 	window1: blendMode = 'avg'
36.7001 	EXP 	window1: blendMode = 'avg'
36.7007 	EXP 	window1: blendMode = 'avg'
36.7211 	EXP 	window1: blendMode = 'avg'
36.7217 	EXP 	window1: blendMode = 'avg'
36.7222 	EXP 	window1: blendMode = 'avg'
36.7411 	EXP 	window1: blendMode = 'avg'
36.7417 	EXP 	window1: blendMode = 'avg'
36.7422 	EXP 	window1: blendMode = 'avg'
36.7589 	EXP 	window1: blendMode = 'avg'
36.7594 	EXP 	window1: blendMode = 'avg'
36.7598 	EXP 	window1: blendMode = 'avg'
36.7777 	EXP 	window1: blendMode = 'avg'
36.7780 	EXP 	window1: blendMode = 'avg'
36.7783 	EXP 	window1: blendMode = 'avg'
36.7979 	EXP 	window1: blendMode = 'avg'
36.7982 	EXP 	window1: blendMode = 'avg'
36.7984 	EXP 	window1: blendMode = 'avg'
36.8182 	EXP 	window1: blendMode = 'avg'
36.8185 	EXP 	window1: blendMode = 'avg'
36.8187 	EXP 	window1: blendMode = 'avg'
36.8414 	EXP 	window1: blendMode = 'avg'
36.8419 	EXP 	window1: blendMode = 'avg'
36.8424 	EXP 	window1: blendMode = 'avg'
36.8593 	EXP 	window1: blendMode = 'avg'
36.8600 	EXP 	window1: blendMode = 'avg'
36.8605 	EXP 	window1: blendMode = 'avg'
36.8818 	EXP 	window1: blendMode = 'avg'
36.8824 	EXP 	window1: blendMode = 'avg'
36.8829 	EXP 	window1: blendMode = 'avg'
36.9043 	EXP 	window1: blendMode = 'avg'
36.9052 	EXP 	window1: blendMode = 'avg'
36.9061 	EXP 	window1: blendMode = 'avg'
36.9194 	EXP 	window1: blendMode = 'avg'
36.9202 	EXP 	window1: blendMode = 'avg'
36.9211 	EXP 	window1: blendMode = 'avg'
36.9392 	EXP 	window1: blendMode = 'avg'
36.9398 	EXP 	window1: blendMode = 'avg'
36.9403 	EXP 	window1: blendMode = 'avg'
36.9605 	EXP 	window1: blendMode = 'avg'
36.9610 	EXP 	window1: blendMode = 'avg'
36.9615 	EXP 	window1: blendMode = 'avg'
36.9804 	EXP 	window1: blendMode = 'avg'
36.9809 	EXP 	window1: blendMode = 'avg'
36.9814 	EXP 	window1: blendMode = 'avg'
37.0003 	EXP 	window1: blendMode = 'avg'
37.0008 	EXP 	window1: blendMode = 'avg'
37.0013 	EXP 	window1: blendMode = 'avg'
37.0195 	EXP 	window1: blendMode = 'avg'
37.0202 	EXP 	window1: blendMode = 'avg'
37.0211 	EXP 	window1: blendMode = 'avg'
37.0417 	EXP 	window1: blendMode = 'avg'
37.0423 	EXP 	window1: blendMode = 'avg'
37.0429 	EXP 	window1: blendMode = 'avg'
37.0615 	EXP 	window1: blendMode = 'avg'
37.0621 	EXP 	window1: blendMode = 'avg'
37.0626 	EXP 	window1: blendMode = 'avg'
37.0800 	EXP 	window1: blendMode = 'avg'
37.0805 	EXP 	window1: blendMode = 'avg'
37.0810 	EXP 	window1: blendMode = 'avg'
37.1028 	EXP 	window1: blendMode = 'avg'
37.1034 	EXP 	window1: blendMode = 'avg'
37.1039 	EXP 	window1: blendMode = 'avg'
37.1198 	EXP 	window1: blendMode = 'avg'
37.1208 	EXP 	window1: blendMode = 'avg'
37.1218 	EXP 	window1: blendMode = 'avg'
37.1397 	EXP 	window1: blendMode = 'avg'
37.1404 	EXP 	window1: blendMode = 'avg'
37.1409 	EXP 	window1: blendMode = 'avg'
37.1602 	EXP 	window1: blendMode = 'avg'
37.1608 	EXP 	window1: blendMode = 'avg'
37.1615 	EXP 	window1: blendMode = 'avg'
37.1794 	EXP 	window1: blendMode = 'avg'
37.1802 	EXP 	window1: blendMode = 'avg'
37.1809 	EXP 	window1: blendMode = 'avg'
37.1989 	EXP 	window1: blendMode = 'avg'
37.1995 	EXP 	window1: blendMode = 'avg'
37.2000 	EXP 	window1: blendMode = 'avg'
37.2204 	EXP 	window1: blendMode = 'avg'
37.2211 	EXP 	window1: blendMode = 'avg'
37.2218 	EXP 	window1: blendMode = 'avg'
37.2401 	EXP 	window1: blendMode = 'avg'
37.2410 	EXP 	window1: blendMode = 'avg'
37.2419 	EXP 	window1: blendMode = 'avg'
37.2611 	EXP 	window1: blendMode = 'avg'
37.2619 	EXP 	window1: blendMode = 'avg'
37.2626 	EXP 	window1: blendMode = 'avg'
37.2819 	EXP 	window1: blendMode = 'avg'
37.2833 	EXP 	window1: blendMode = 'avg'
37.2850 	EXP 	window1: blendMode = 'avg'
37.3011 	EXP 	window1: blendMode = 'avg'
37.3020 	EXP 	window1: blendMode = 'avg'
37.3029 	EXP 	window1: blendMode = 'avg'
37.3209 	EXP 	window1: blendMode = 'avg'
37.3219 	EXP 	window1: blendMode = 'avg'
37.3229 	EXP 	window1: blendMode = 'avg'
37.3421 	EXP 	window1: blendMode = 'avg'
37.3425 	EXP 	window1: blendMode = 'avg'
37.3429 	EXP 	window1: blendMode = 'avg'
37.3597 	EXP 	window1: blendMode = 'avg'
37.3602 	EXP 	window1: blendMode = 'avg'
37.3606 	EXP 	window1: blendMode = 'avg'
37.3782 	EXP 	window1: blendMode = 'avg'
37.3785 	EXP 	window1: blendMode = 'avg'
37.3787 	EXP 	window1: blendMode = 'avg'
37.3978 	EXP 	window1: blendMode = 'avg'
37.3980 	EXP 	window1: blendMode = 'avg'
37.3983 	EXP 	window1: blendMode = 'avg'
37.4175 	EXP 	window1: blendMode = 'avg'
37.4177 	EXP 	window1: blendMode = 'avg'
37.4179 	EXP 	window1: blendMode = 'avg'
37.4383 	EXP 	window1: blendMode = 'avg'
37.4388 	EXP 	window1: blendMode = 'avg'
37.4391 	EXP 	window1: blendMode = 'avg'
37.4606 	EXP 	window1: blendMode = 'avg'
37.4610 	EXP 	window1: blendMode = 'avg'
37.4614 	EXP 	window1: blendMode = 'avg'
37.4785 	EXP 	window1: blendMode = 'avg'
37.4789 	EXP 	window1: blendMode = 'avg'
37.4793 	EXP 	window1: blendMode = 'avg'
37.4997 	EXP 	window1: blendMode = 'avg'
37.5003 	EXP 	window1: blendMode = 'avg'
37.5008 	EXP 	window1: blendMode = 'avg'
37.5183 	EXP 	window1: blendMode = 'avg'
37.5189 	EXP 	window1: blendMode = 'avg'
37.5194 	EXP 	window1: blendMode = 'avg'
37.5386 	EXP 	window1: blendMode = 'avg'
37.5394 	EXP 	window1: blendMode = 'avg'
37.5400 	EXP 	window1: blendMode = 'avg'
37.5601 	EXP 	window1: blendMode = 'avg'
37.5607 	EXP 	window1: blendMode = 'avg'
37.5612 	EXP 	window1: blendMode = 'avg'
37.5786 	EXP 	window1: blendMode = 'avg'
37.5792 	EXP 	window1: blendMode = 'avg'
37.5797 	EXP 	window1: blendMode = 'avg'
37.5993 	EXP 	window1: blendMode = 'avg'
37.6001 	EXP 	window1: blendMode = 'avg'
37.6008 	EXP 	window1: blendMode = 'avg'
37.6211 	EXP 	window1: blendMode = 'avg'
37.6223 	EXP 	window1: blendMode = 'avg'
37.6233 	EXP 	window1: blendMode = 'avg'
37.6399 	EXP 	window1: blendMode = 'avg'
37.6411 	EXP 	window1: blendMode = 'avg'
37.6421 	EXP 	window1: blendMode = 'avg'
37.6603 	EXP 	window1: blendMode = 'avg'
